"Name der Installation";"phzh"
"Datum des Reports";"01. Jun 2022, 14:12"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (31. Mai 2021, 02:00 - 31. Mai 2022, 02:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"925994"
"Abgänge";"925131"
"Abgänge - Logout";"85788"
"Abgänge - Timeout";"835213"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"4130"

"active_min";"active_max";"active_avg";"slot_begin"
"6";"1162";"533";"29.11.2021 00:00"
"2";"967";"452";"30.11.2021 00:00"
"5";"1094";"478";"01.12.2021 00:00"
"1";"1028";"431";"02.12.2021 00:00"
"5";"934";"345";"03.12.2021 00:00"
"3";"386";"166";"04.12.2021 00:00"
"2";"465";"234";"05.12.2021 00:00"
"6";"1151";"528";"06.12.2021 00:00"
"4";"981";"456";"07.12.2021 00:00"
"4";"1149";"517";"08.12.2021 00:00"
"4";"1010";"467";"09.12.2021 00:00"
"4";"984";"385";"10.12.2021 00:00"
"2";"337";"154";"11.12.2021 00:00"
"3";"435";"207";"12.12.2021 00:00"
"9";"1254";"534";"13.12.2021 00:00"
"4";"1171";"512";"14.12.2021 00:00"
"2";"982";"446";"15.12.2021 00:00"
"5";"1045";"461";"16.12.2021 00:00"
"6";"1003";"380";"17.12.2021 00:00"
"3";"259";"129";"18.12.2021 00:00"
"2";"379";"180";"19.12.2021 00:00"
"12";"957";"432";"20.12.2021 00:00"
"6";"1011";"422";"21.12.2021 00:00"
"3";"771";"359";"22.12.2021 00:00"
"6";"778";"314";"23.12.2021 00:00"
"2";"159";"53";"24.12.2021 00:00"
"1";"70";"29";"25.12.2021 00:00"
"1";"110";"44";"26.12.2021 00:00"
"1";"191";"78";"27.12.2021 00:00"
"1";"206";"90";"28.12.2021 00:00"
"1";"211";"90";"29.12.2021 00:00"
