"Name der Installation";"phzh"
"Datum des Reports";"07. Mär 2022, 19:00"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (28. Feb 2021, 01:00 - 28. Feb 2022, 01:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"989915"
"Abgänge";"988911"
"Abgänge - Logout";"95409"
"Abgänge - Timeout";"888791"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"4711"

"active_min";"active_max";"active_avg";"slot_begin"
"1";"557";"206";"21.01.2022 00:00"
"3";"256";"100";"22.01.2022 00:00"
"1";"219";"107";"23.01.2022 00:00"
"1";"530";"215";"24.01.2022 00:00"
"1";"430";"183";"25.01.2022 00:00"
"2";"374";"183";"26.01.2022 00:00"
"1";"534";"228";"27.01.2022 00:00"
"3";"490";"216";"28.01.2022 00:00"
"1";"276";"117";"29.01.2022 00:00"
"2";"290";"121";"30.01.2022 00:00"
"1";"506";"225";"31.01.2022 00:00"
"1";"511";"212";"01.02.2022 00:00"
"6";"510";"220";"02.02.2022 00:00"
"4";"500";"217";"03.02.2022 00:00"
"5";"660";"243";"04.02.2022 00:00"
"6";"226";"101";"05.02.2022 00:00"
"3";"256";"116";"06.02.2022 00:00"
"1";"531";"215";"07.02.2022 00:00"
"1";"551";"210";"08.02.2022 00:00"
"1";"435";"203";"09.02.2022 00:00"
"4";"497";"200";"10.02.2022 00:00"
"2";"472";"184";"11.02.2022 00:00"
"1";"140";"62";"12.02.2022 00:00"
"1";"126";"62";"13.02.2022 00:00"
"2";"385";"166";"14.02.2022 00:00"
"1";"405";"162";"15.02.2022 00:00"
"1";"339";"151";"16.02.2022 00:00"
"2";"375";"158";"17.02.2022 00:00"
"1";"293";"134";"18.02.2022 00:00"
"1";"203";"90";"19.02.2022 00:00"
"2";"339";"161";"20.02.2022 00:00"
"6";"1445";"614";"21.02.2022 00:00"
"4";"1255";"532";"22.02.2022 00:00"
"1";"1354";"527";"23.02.2022 00:00"
"4";"1313";"529";"24.02.2022 00:00"
"2";"1485";"451";"25.02.2022 00:00"
"1";"259";"117";"26.02.2022 00:00"
"1";"341";"173";"27.02.2022 00:00"
"86";"172";"123";"28.02.2022 00:00"
